Model,Budget,Log Loss,Binary Err Rate,Specificity,Sensitivity,F1,Roc Auc
non-interferent [B=40],20,0.5484468209386311,0.2890084550345888,0.4435146443514644,0.8663426488456865,0.6606714761376249,0.791486397860669
non-interferent [B=40],20,0.5561541528359562,0.28670253651037664,0.4351464435146444,0.8748481166464156,0.6607566672748639,0.7925209840516124
non-interferent [B=40],20,0.5641335927942851,0.2851652574942352,0.47280334728033474,0.8554070473876063,0.6703330403239631,0.7932098608519703
std-gbdt,20,0.5689666795772054,0.27747886241352804,0.497907949790795,0.8529769137302552,0.6820825760421849,0.7906297503266446
adv-boosting [B=20],30,0.4782079268003691,0.21906225980015373,0.6652719665271967,0.8481166464155528,0.7605059033032533,0.8438715384576277
adv-boosting [B=30],30,0.4781478828280077,0.21137586471944658,0.6778242677824268,0.8529769137302552,0.7691352679231112,0.8463601376736809
adv-boosting [B=40],30,0.48354783521338207,0.21445042275172943,0.6694560669456067,0.8529769137302552,0.7653168696502244,0.840028063468177
non-interferent [B=20],30,0.588126828459589,0.3543428132205995,0.303347280334728,0.8444714459295262,0.5685486162516249,0.7334199301463673
non-interferent [B=20],30,0.5810639634487337,0.3566487317448117,0.28661087866108786,0.850546780072904,0.561173337055259,0.7412886317534074
non-interferent [B=20],30,0.5694474270701625,0.31283627978478096,0.40585774058577406,0.850546780072904,0.6314075590035954,0.7724978011865966
non-interferent [B=20],30,0.5664353784390935,0.30822444273635663,0.38493723849372385,0.8699878493317132,0.629888257257319,0.7799941026045136
non-interferent [B=20],30,0.5721966904097501,0.28209069946195237,0.4874476987447699,0.8517618469015796,0.6759809633293679,0.7856754297218564
non-interferent [B=20],30,0.5705402825528397,0.2674865488086088,0.49581589958158995,0.8699878493317132,0.6905683588944476,0.7901823617035338
non-interferent [B=30],30,0.5873104748411533,0.3566487317448117,0.29707112970711297,0.8444714459295262,0.5647047286110679,0.7339143454145207
non-interferent [B=30],30,0.5815769027837864,0.361260568793236,0.27405857740585776,0.850546780072904,0.5532932994360189,0.7404230872865373
non-interferent [B=30],30,0.5591672387256698,0.2990007686395081,0.4225941422594142,0.8626974483596598,0.6472109119527765,0.7813489783779111
non-interferent [B=30],30,0.551498946707241,0.29285165257494233,0.4121338912133891,0.8784933171324423,0.6499242544626304,0.7887944401795655
non-interferent [B=30],30,0.5581337730213227,0.2859338970023059,0.4372384937238494,0.8748481166464156,0.6619079554027998,0.7894121415171558
non-interferent [B=30],30,0.5803077783436476,0.28055342044581094,0.4811715481171548,0.8578371810449574,0.6760866970208557,0.7831741206017377
non-interferent [B=40],30,0.5866006745189515,0.35126825518831667,0.30962343096234307,0.8456865127582017,0.5729668310712441,0.7350887405501864
non-interferent [B=40],30,0.5792162761829523,0.35511145272867023,0.28451882845188287,0.8541919805589308,0.5616244333066882,0.7438090057296247
non-interferent [B=40],30,0.569579452811353,0.3074558032282859,0.41422594142259417,0.8541919805589308,0.6380017473858773,0.7716233597868803
non-interferent [B=40],30,0.5550239950494471,0.29438893159108376,0.4351464435146444,0.8626974483596598,0.6541135376514042,0.7859245438415431
non-interferent [B=40],30,0.5647095999746548,0.29285165257494233,0.4246861924686193,0.8712029161603888,0.6529828725046468,0.7854746132376194
non-interferent [B=40],30,0.5751442428841589,0.2920830130668716,0.4560669456066946,0.8541919805589308,0.6607738840216937,0.7848213241686451
std-gbdt,30,0.5790878095703714,0.28747117601844735,0.47280334728033474,0.8517618469015796,0.6683149553912265,0.7832783418150759
adv-boosting [B=20],40,0.4798151125762235,0.22059953881629515,0.6631799163179917,0.8469015795868773,0.7588252429755568,0.8428140744393662
adv-boosting [B=30],40,0.4799815643156193,0.21137586471944658,0.6778242677824268,0.8529769137302552,0.7691352679231112,0.845117109056061
adv-boosting [B=40],40,0.4852848067045178,0.21521906225980014,0.6694560669456067,0.8517618469015796,0.7645918420100295,0.8388104546586883
non-interferent [B=20],40,0.5886035892574948,0.3543428132205995,0.303347280334728,0.8444714459295262,0.5685486162516249,0.7325226109193328
non-interferent [B=20],40,0.5815696073565488,0.3566487317448117,0.28661087866108786,0.850546780072904,0.561173337055259,0.7403582667758024
non-interferent [B=20],40,0.5723144818638956,0.31360491929285167,0.40376569037656906,0.850546780072904,0.6302411894518625,0.7694804699614126
non-interferent [B=20],40,0.5687098592923767,0.31053036126056877,0.38284518828451886,0.8675577156743621,0.6274003289287132,0.7775080453692735
non-interferent [B=20],40,0.575615255422458,0.2843966179861645,0.48326359832635984,0.850546780072904,0.6731244567579313,0.7826301367077281
non-interferent [B=20],40,0.5726400719791074,0.2697924673328209,0.49372384937238495,0.8675577156743621,0.6881048440800838,0.7883165477866974
non-interferent [B=30],40,0.5878021176949951,0.3566487317448117,0.29707112970711297,0.8444714459295262,0.5647047286110679,0.7329636445904106
non-interferent [B=30],40,0.5819907846905595,0.361260568793236,0.27405857740585776,0.850546780072904,0.5532932994360189,0.7395410199443815
non-interferent [B=30],40,0.5615566849885871,0.2990007686395081,0.4225941422594142,0.8626974483596598,0.6472109119527765,0.7789900201833275
non-interferent [B=30],40,0.5543600845139931,0.29515757109915447,0.4121338912133891,0.8748481166464156,0.6479502097145177,0.7857084754724272
non-interferent [B=30],40,0.5608125569666832,0.28670253651037664,0.4351464435146444,0.8748481166464156,0.6607566672748639,0.7868676187232139
non-interferent [B=30],40,0.583887598504409,0.2828593389700231,0.4811715481171548,0.8541919805589308,0.67405737191532,0.7801288275876094
non-interferent [B=40],40,0.5870792335434788,0.35126825518831667,0.30962343096234307,0.8456865127582017,0.5729668310712441,0.7341990472655912
non-interferent [B=40],40,0.5796696017278844,0.35511145272867023,0.28451882845188287,0.8541919805589308,0.5616244333066882,0.7428659308479539
non-interferent [B=40],40,0.5718202237761385,0.31129900076863953,0.4100418410041841,0.850546780072904,0.6337338426300844,0.7694601341149078
non-interferent [B=40],40,0.5570162679057393,0.29438893159108376,0.4351464435146444,0.8626974483596598,0.6541135376514042,0.7839951804043782
non-interferent [B=40],40,0.5667719854756269,0.29438893159108376,0.4225941422594142,0.8699878493317132,0.6511612602868234,0.7834003568941061
non-interferent [B=40],40,0.5785068909377822,0.29669485011529595,0.45188284518828453,0.8493317132442284,0.6558748232043593,0.7814608255336889
